distance,path_loss,env,path_loss.1,env
156.2313989,107.4122954,0,130.6644878,1
157.2299272,107.4704001,0,130.7621591,1
158.228474,107.5281381,0,130.8592139,1
159.2270392,107.5855138,0,130.9556598,1
160.2256222,107.6425319,0,131.0515045,1
161.2242227,107.6991968,0,131.1467554,1
162.2228406,107.7555127,0,131.2414197,1
163.2214753,107.8114839,0,131.3355047,1
164.2201267,107.8671147,0,131.4290174,1
165.2187943,107.922409,0,131.5219646,1
166.217478,107.9773711,0,131.6143532,1
167.2161774,108.0320047,0,131.7061897,1
168.2148923,108.0863139,0,131.7974809,1
169.2136224,108.1403024,0,131.888233,1
170.2123674,108.193974,0,131.9784523,1
171.211127,108.2473323,0,132.0681452,1
172.209901,108.3003811,0,132.1573176,1
173.2086892,108.3531238,0,132.2459756,1
174.2074912,108.405564,0,132.334125,1
175.206307,108.4577051,0,132.4217717,1
176.2051361,108.5095505,0,132.5089214,1
177.2039785,108.5611035,0,132.5955795,1
178.2028339,108.6123674,0,132.6817517,1
179.201702,108.6633454,0,132.7674433,1
180.2005827,108.7140406,0,132.8526596,1
181.1994757,108.7644563,0,132.9374059,1
182.1983809,108.8145954,0,133.0216874,1
183.197298,108.864461,0,133.105509,1
184.1962269,108.914056,0,133.1888758,1
185.1951673,108.9633833,0,133.2717927,1
186.1941191,109.0124458,0,133.3542645,1
187.1930821,109.0612463,0,133.4362958,1
188.1920562,109.1097877,0,133.5178915,1
189.191041,109.1580725,0,133.5990561,1
190.1900365,109.2061036,0,133.6797941,1
191.1890426,109.2538836,0,133.7601099,1
192.1880589,109.301415,0,133.840008,1
193.1870855,109.3487005,0,133.9194927,1
194.1861221,109.3957426,0,133.9985681,1
195.1851685,109.4425437,0,134.0772386,1
196.1842246,109.4891064,0,134.1555082,1
197.1832904,109.5354329,0,134.2333809,1
198.1823655,109.5815258,0,134.3108608,1
199.1814499,109.6273873,0,134.3879519,1
200.1805435,109.6730198,0,134.4646579,1
201.1796461,109.7184255,0,134.5409827,1
202.1787575,109.7636066,0,134.61693,1
203.1778777,109.8085654,0,134.6925037,1
204.1770065,109.8533041,0,134.7677072,1
205.1761438,109.8978248,0,134.8425443,1
206.1752895,109.9421295,0,134.9170185,1
207.1744434,109.9862204,0,134.9911332,1
208.1736054,110.0300996,0,135.064892,1
209.1727755,110.073769,0,135.1382982,1
210.1719534,110.1172306,0,135.2113551,1
211.1711391,110.1604864,0,135.2840661,1
212.1703325,110.2035384,0,135.3564345,1
213.1695335,110.2463885,0,135.4284633,1
214.1687419,110.2890384,0,135.5001559,1
215.1679577,110.3314902,0,135.5715153,1
216.1671807,110.3737456,0,135.6425445,1
217.1664108,110.4158064,0,135.7132467,1
218.1656481,110.4576744,0,135.7836249,1
219.1648923,110.4993513,0,135.8536819,1
220.1641433,110.540839,0,135.9234207,1
221.1634011,110.5821391,0,135.9928441,1
222.1626656,110.6232533,0,136.0619551,1
223.1619367,110.6641832,0,136.1307564,1
224.1612143,110.7049305,0,136.1992507,1
225.1604983,110.7454969,0,136.2674408,1
226.1597886,110.7858838,0,136.3353293,1
227.1590852,110.826093,0,136.402919,1
228.158388,110.8661259,0,136.4702124,1
229.1576968,110.905984,0,136.5372121,1
230.1570116,110.945669,0,136.6039207,1
231.1563324,110.9851823,0,136.6703406,1
232.155659,111.0245254,0,136.7364745,1
233.1549914,111.0636997,0,136.8023246,1
234.1543294,111.1027067,0,136.8678935,1
235.1536732,111.1415477,0,136.9331834,1
236.1530224,111.1802243,0,136.9981969,1
237.1523772,111.2187378,0,137.0629362,1
238.1517373,111.2570895,0,137.1274036,1
239.1511029,111.2952808,0,137.1916014,1
240.1504737,111.333313,0,137.2555318,1
241.1498497,111.3711875,0,137.319197,1
242.1492308,111.4089056,0,137.3825993,1
243.1486171,111.4464685,0,137.4457407,1
244.1480084,111.4838775,0,137.5086235,1
245.1474046,111.5211339,0,137.5712497,1
246.1468058,111.5582389,0,137.6336215,1
247.1462118,111.5951937,0,137.6957408,1
248.1456226,111.6319996,0,137.7576097,1
249.1450381,111.6686577,0,137.8192302,1
250.1444583,111.7051692,0,137.8806043,1
251.1438831,111.7415353,0,137.941734,1
252.1433124,111.7777572,0,138.0026212,1
253.1427463,111.8138359,0,138.0632678,1
254.1421846,111.8497726,0,138.1236757,1
255.1416273,111.8855684,0,138.1838467,1
256.1410744,111.9212244,0,138.2437828,1
257.1405258,111.9567417,0,138.3034857,1
258.1399814,111.9921214,0,138.3629573,1
259.1394412,112.0273645,0,138.4221993,1
260.1389052,112.0624721,0,138.4812134,1
261.1383733,112.0974452,0,138.5400016,1
262.1378454,112.1322849,0,138.5985654,1
263.1373216,112.1669921,0,138.6569065,1
264.1368017,112.2015678,0,138.7150268,1
265.1362857,112.2360132,0,138.7729277,1
266.1357736,112.270329,0,138.830611,1
267.1352654,112.3045163,0,138.8880783,1
268.1347609,112.3385761,0,138.9453312,1
269.1342602,112.3725093,0,139.0023713,1
270.1337632,112.4063169,0,139.0592001,1
271.1332698,112.4399997,0,139.1158193,1
272.1327801,112.4735587,0,139.1722304,1
273.132294,112.5069947,0,139.2284348,1
274.1318114,112.5403088,0,139.2844341,1
275.1313323,112.5735017,0,139.3402299,1
276.1308567,112.6065744,0,139.3958235,1
277.1303845,112.6395277,0,139.4512164,1
278.1299157,112.6723624,0,139.50641,1
279.1294503,112.7050795,0,139.5614059,1
280.1289881,112.7376797,0,139.6162053,1
281.1285293,112.770164,0,139.6708098,1
282.1280738,112.802533,0,139.7252206,1
283.1276214,112.8347877,0,139.7794392,1
284.1271722,112.8669288,0,139.8334668,1
285.1267262,112.8989571,0,139.8873049,1
286.1262833,112.9308735,0,139.9409548,1
287.1258435,112.9626786,0,139.9944177,1
288.1254067,112.9943733,0,140.047695,1
289.124973,113.0259583,0,140.1007879,1
290.1245422,113.0574345,0,140.1536978,1
291.1241144,113.0888024,0,140.2064258,1
292.1236896,113.1200629,0,140.2589733,1
293.1232676,113.1512168,0,140.3113414,1
294.1228485,113.1822647,0,140.3635314,1
295.1224322,113.2132073,0,140.4155445,1
296.1220188,113.2440454,0,140.4673818,1
297.1216081,113.2747796,0,140.5190446,1
298.1212002,113.3054107,0,140.5705341,1
299.120795,113.3359394,0,140.6218513,1
300.1203925,113.3663662,0,140.6729974,1
